epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_group_grad_norm:0,avg_group_grad_norm_uniform:0,avg_group_loss_each_uniform:0,avg_group_feat_norm:0,avg_group_largest_confidence:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_group_grad_norm:1,avg_group_grad_norm_uniform:1,avg_group_loss_each_uniform:1,avg_group_feat_norm:1,avg_group_largest_confidence:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_group_grad_norm:2,avg_group_grad_norm_uniform:2,avg_group_loss_each_uniform:2,avg_group_feat_norm:2,avg_group_largest_confidence:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_group_grad_norm:3,avg_group_grad_norm_uniform:3,avg_group_loss_each_uniform:3,avg_group_feat_norm:3,avg_group_largest_confidence:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,avg_grad_norm,avg_grad_norm_uniform,avg_loss_each_uniform,avg_feat_norm,avg_largest_confidence
20,37,0.0016853415872901678,0.001670826692134142,1.0,2254.0,2254.0,38.0,0.0,0.0,0.0,0.0,0.9983415603637695,0.017046503722667694,0.015016497112810612,1.0,127.0,127.0,37.0,0.0,0.0,0.0,0.0,0.9836621284484863,0.00732415122911334,0.006984873209148645,1.0,119.0,119.0,37.0,0.0,0.0,0.0,0.0,0.9927699565887451,0.0017577792750671506,0.001634896732866764,1.0,2295.0,2295.0,38.0,0.0,0.0,0.0,0.0,0.9982548356056213,0.002250752178952098,0.002266807947307825,1.0,8419.861328125,0.42099306640625,0.0,0.0,0.0,0.0,0.9977729916572571
21,37,0.001974008046090603,0.0026548251044005156,1.0,2250.0,2250.0,38.0,0.0,0.0,0.0,0.0,0.998076856136322,0.01697653718292713,0.041253674775362015,1.0,128.0,128.0,37.0,0.0,0.0,0.0,0.0,0.9840699434280396,0.0074405912309885025,0.005290632601827383,1.0,121.0,121.0,37.0,0.0,0.0,0.0,0.0,0.9926396608352661,0.0017691986868157983,0.001225723884999752,1.0,2296.0,2296.0,38.0,0.0,0.0,0.0,0.0,0.9982474446296692,0.0026152916252613068,0.0024143704213202,1.0,8419.2353515625,0.42096176757812503,0.0,0.0,0.0,0.0,0.9976474642753601
22,37,0.0013215964427217841,0.0013208886375650764,1.0,2308.0,2308.0,38.0,0.0,0.0,0.0,0.0,0.9987022280693054,0.024786459282040596,0.052692268043756485,0.9887640476226807,89.0,89.0,33.0,0.0,0.0,0.0,0.0,0.9831496477127075,0.005174386780709028,0.009121238254010677,1.0,139.0,139.0,38.0,0.0,0.0,0.0,0.0,0.9948744773864746,0.001955868676304817,0.0025150806177407503,1.0,2259.0,2259.0,38.0,0.0,0.0,0.0,0.0,0.9980665445327759,0.0021698593627661467,0.002167630009353161,0.9997913837432861,8418.611328125,0.42093056640625004,0.0,0.0,0.0,0.0,0.9980031251907349
23,37,0.0009459191933274269,0.0007388984085991979,1.0,2284.0,2284.0,38.0,0.0,0.0,0.0,0.0,0.9990606307983398,0.0081934854388237,0.006873252801597118,1.0,105.0,105.0,36.0,0.0,0.0,0.0,0.0,0.9919700622558594,0.006218351423740387,0.006318758241832256,1.0,115.0,115.0,36.0,0.0,0.0,0.0,0.0,0.9938178658485413,0.001515612006187439,0.0015898487763479352,1.0,2291.0,2291.0,38.0,0.0,0.0,0.0,0.0,0.9984938502311707,0.0015150016406551003,0.001503268489614129,1.0,8417.9833984375,0.42089916992187504,0.0,0.0,0.0,0.0,0.9985088109970093
24,37,0.001104474882595241,0.0007426639785990119,1.0,2254.0,2254.0,38.0,0.0,0.0,0.0,0.0,0.998907744884491,0.009723854251205921,0.007370776031166315,1.0,104.0,104.0,34.0,0.0,0.0,0.0,0.0,0.9904432892799377,0.006361142732203007,0.004963898099958897,1.0,131.0,131.0,38.0,0.0,0.0,0.0,0.0,0.9937121272087097,0.0014548609033226967,0.0013570088194683194,1.0,2306.0,2306.0,38.0,0.0,0.0,0.0,0.0,0.9985537528991699,0.0015964456833899021,0.0016035424778237939,1.0,8417.3564453125,0.420867822265625,0.0,0.0,0.0,0.0,0.998412013053894
25,37,0.0013397685252130032,0.0011481697438284755,1.0,2291.0,2291.0,38.0,0.0,0.0,0.0,0.0,0.998680830001831,0.0118327084928751,0.012007887475192547,1.0,143.0,143.0,35.0,0.0,0.0,0.0,0.0,0.9885214567184448,0.0039178431034088135,0.003650551661849022,1.0,120.0,120.0,36.0,0.0,0.0,0.0,0.0,0.9961041808128357,0.0011321252677589655,0.001023760181851685,1.0,2241.0,2241.0,38.0,0.0,0.0,0.0,0.0,0.9988732933998108,0.0016106048133224249,0.0016201711259782314,1.0,8416.7294921875,0.420836474609375,0.0,0.0,0.0,0.0,0.9984033107757568
26,37,0.001446760492399335,0.0017501210095360875,1.0,2292.0,2292.0,38.0,0.0,0.0,0.0,0.0,0.9985784292221069,0.012070824392139912,0.0108224181458354,1.0,123.0,123.0,36.0,0.0,0.0,0.0,0.0,0.9881633520126343,0.005792719312012196,0.006004944909363985,1.0,126.0,126.0,35.0,0.0,0.0,0.0,0.0,0.9942913055419922,0.001589070656336844,0.00121622858569026,1.0,2254.0,2254.0,38.0,0.0,0.0,0.0,0.0,0.9984280467033386,0.0019144406542181969,0.0019003825727850199,1.0,8416.099609375,0.42080498046875003,0.0,0.0,0.0,0.0,0.9981279373168945
27,37,0.0009857744444161654,0.001101111527532339,1.0,2263.0,2263.0,38.0,0.0,0.0,0.0,0.0,0.999021053314209,0.011272434145212173,0.010253410786390305,1.0,125.0,125.0,36.0,0.0,0.0,0.0,0.0,0.989155113697052,0.005476557649672031,0.004048760514706373,1.0,130.0,130.0,36.0,0.0,0.0,0.0,0.0,0.9945974946022034,0.0015302635729312897,0.0011536800302565098,1.0,2277.0,2277.0,38.0,0.0,0.0,0.0,0.0,0.9984815120697021,0.0016274112276732922,0.0016342491144314408,1.0,8415.474609375,0.42077373046875,0.0,0.0,0.0,0.0,0.9983876943588257
28,37,0.0009300541714765131,0.001143024885095656,1.0,2317.0,2317.0,38.0,0.0,0.0,0.0,0.0,0.9990779161453247,0.007247250061482191,0.0069361282512545586,1.0,114.0,114.0,36.0,0.0,0.0,0.0,0.0,0.9928408861160278,0.0039041705895215273,0.0037764746230095625,1.0,106.0,106.0,38.0,0.0,0.0,0.0,0.0,0.9961150884628296,0.0009104026248678565,0.0009268623543903232,1.0,2258.0,2258.0,38.0,0.0,0.0,0.0,0.0,0.9990929961204529,0.0011528379982337356,0.0011367368279024959,1.0,8414.841796875,0.42074208984375,0.0,0.0,0.0,0.0,0.9988712072372437
29,37,0.0012178309261798859,0.001957022352144122,1.0,2306.0,2306.0,38.0,0.0,0.0,0.0,0.0,0.9988004565238953,0.00696855504065752,0.006416816730052233,1.0,100.0,100.0,34.0,0.0,0.0,0.0,0.0,0.9931097030639648,0.0038083288818597794,0.0049706012941896915,1.0,112.0,112.0,35.0,0.0,0.0,0.0,0.0,0.9962186813354492,0.0014822309603914618,0.0010273084044456482,1.0,2277.0,2277.0,38.0,0.0,0.0,0.0,0.0,0.9985328912734985,0.0016062050126492977,0.0015238261548802257,1.0,8414.2138671875,0.420710693359375,0.0,0.0,0.0,0.0,0.9984943866729736
